time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima,
2017/9/8 3:15,10.50531276,10.5218,9.8047562,9.7835026,9.757535,9.4757223,9.7984772,9.2341518,9.6044197,10.50531276,9.829690874,9.829690874,9.677348414,9.924115734,
2017/9/8 3:30,10.5512604,10.802811,10.11205,10.046733,10.190506,9.8232155,10.152304,9.7729073,9.9494734,10.5512604,10.30742441,10.30742441,10.76687422,10.77958096,
2017/9/8 3:45,10.86028117,11.473135,10.774887,10.68938,11.011029,10.489658,10.830943,10.19062,10.387852,10.86028117,10.49722078,10.49722078,10.40851723,9.812209328,
2017/9/8 4:00,13.50480474,10.762144,10.067819,10.057555,9.9576254,9.6351919,10.021653,11.351233,12.545943,13.50480474,13.26155732,13.26155732,13.32350321,13.40617399,
2017/9/8 4:15,14.37837359,13.718495,13.12743,12.756074,13.548259,12.840013,13.324183,13.035732,13.579243,14.37837359,13.64922255,13.64922255,13.849962,13.92983901,
2017/9/8 4:30,12.84819302,14.476028,14.077048,13.66753,13.97524,13.173454,14.10519,11.303386,12.149409,12.84819302,12.32065131,12.32065131,13.22078404,13.2468401,
2017/9/8 4:45,10.1673371,13.797788,13.417354,13.086182,13.222653,12.536838,13.39882,10.027069,9.96908,10.1673371,10.19740701,10.19740701,10.07949649,9.922502267,
2017/9/8 5:00,10.33241972,10.622935,10.097532,10.117854,9.3697042,9.3204947,9.728301,9.7609596,9.8853226,10.33241972,10.40379259,10.40379259,10.09293904,9.957374229,
2017/9/8 5:15,11.44190051,10.524324,9.9860411,9.8010349,9.9788685,9.758812,9.8403597,9.9803753,10.68812,11.44190051,10.74537699,10.74537699,11.35523295,11.48233321,
2017/9/8 5:30,11.6026906,12.273859,11.589858,11.402905,12.024565,11.376494,11.767814,10.545029,10.835641,11.6026906,11.2261047,11.2261047,11.49277097,11.41046335,
2017/9/8 5:45,11.63948419,12.349284,11.639848,11.535749,11.907193,11.237096,11.891817,11.627943,10.998967,11.63948419,11.17029989,11.17029989,11.24527493,11.10630641,
2017/9/8 6:00,12.18503276,11.675482,11.182554,11.058137,11.26675,10.773728,11.327243,11.74674,11.508227,12.18503276,11.78661851,11.78661851,12.53429807,12.68021807,
2017/9/8 6:15,11.64659681,13.036119,12.637211,12.199712,12.705624,12.051452,12.741371,11.105745,11.07837,11.64659681,11.75381414,11.75381414,11.62389542,11.26778259,
2017/9/8 6:30,10.99639786,12.303828,11.655887,11.632925,11.519687,10.92173,11.618997,10.565331,10.84516,10.99639786,10.57716142,10.57716142,10.70342661,10.99541339,
2017/9/8 6:45,11.26624649,11.989358,11.057184,11.200233,11.032306,10.605622,11.040365,10.102742,11.014765,11.26624649,10.9056792,10.9056792,11.1944659,11.18227817,
2017/9/8 7:00,11.31190251,11.823125,11.073259,11.139385,11.378434,10.849953,11.276582,9.6638584,10.844429,11.31190251,11.10752371,11.10752371,11.20703965,11.1379152,
2017/9/8 7:15,10.62892314,11.786656,11.27649,11.079465,11.476026,10.896372,11.407578,9.2971516,10.180268,10.62892314,9.979516064,9.979516064,11.01144726,10.7433604,
2017/9/8 7:30,9.476702383,11.624815,10.971458,10.860766,10.992695,10.519444,10.97877,8.453805,9.0974627,9.476702383,9.603943552,9.603943552,9.357226359,9.250510084,
2017/9/8 7:45,8.81608944,10.057411,9.4562607,9.4423971,9.0139456,8.9472189,9.3278875,7.5092716,8.1732731,8.81608944,8.393325236,8.393325236,8.471040693,8.950773478,
2017/9/8 8:00,7.926428284,9.7709799,9.2128248,9.1037817,8.8806753,8.8448944,9.0795259,7.2792115,7.5440845,7.926428284,7.466469213,7.466469213,7.357180536,7.621656385,
2017/9/8 8:15,8.22365072,8.7440977,8.1265526,8.0654612,7.4050651,7.4355946,7.7770638,6.9786372,7.8076162,8.22365072,8.207038843,8.207038843,8.048320356,7.942065673,
2017/9/8 8:30,8.836133013,9.0216398,8.304286,8.2799015,7.9460549,7.9882121,8.1910419,7.2634296,8.4951925,8.836133013,7.932607796,7.932607796,9.136947605,8.807769153,
2017/9/8 8:45,9.02708985,9.5941935,8.8933716,8.8383827,8.8035955,8.6798868,8.9042044,7.9309707,8.7777586,9.02708985,8.93427614,8.93427614,9.608848969,8.825253735,
2017/9/8 9:00,9.11009186,9.7250595,9.0530415,8.9828682,8.788991,8.6613817,9.0438681,9.0119543,8.7231188,9.11009186,8.828054403,8.828054403,8.917227359,9.114532924,
2017/9/8 9:15,8.74146554,9.7869329,9.0391159,9.056015,8.6867733,8.61448,8.9806786,8.069356,8.373805,8.74146554,8.160150524,8.160150524,8.586070259,9.023010679,
2017/9/8 9:30,7.28338784,9.7588892,8.9904804,9.0153894,8.6873331,8.5719748,8.9243927,6.7236614,7.1388803,7.28338784,7.449245622,7.449245622,6.405766593,6.692841485,
2017/9/8 9:45,7.13607999,7.6244345,6.9903069,7.0891075,6.0351019,5.9824824,6.4893465,5.4939022,6.7154136,7.13607999,6.436202999,6.436202999,6.86863185,7.065758059,
2017/9/8 10:00,6.977709697,7.9568653,7.2082911,7.1692076,6.6728234,6.6876464,6.9141188,6.68472,6.5788369,6.977709697,6.402111798,6.402111798,6.615967324,6.594939336,
2017/9/8 10:15,6.510753928,7.4091444,6.8438339,6.7661929,6.3522682,6.2437935,6.6072593,5.7416453,6.262917,6.510753928,6.341841882,6.341841882,6.152357992,6.04464338,
